epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,293.259,1.31037,3.61706,1.65844,0.42777,0.21621,0.15578,0.08129,1.53602,2.9243,1.91889,0.00997863,0.00332621,0.00997863,0.00332621,0.00997863,0.00332621,0.00997863,0.00332621
2,505.597,1.66506,3.6133,1.9828,0.347,0.03209,0.01681,0.00634,2.50867,4.28439,2.9661,0.0198138,0.0066046,0.0198138,0.0066046,0.0198138,0.0066046,0.0198138,0.0066046
3,703.727,1.8985,4.00564,2.1969,0.52591,0.04584,0.01933,0.00666,2.35427,3.77686,2.79216,0.029484,0.009828,0.029484,0.009828,0.029484,0.009828,0.029484,0.009828
4,896.727,1.94508,4.10237,2.22106,0.21801,0.17227,0.02454,0.00912,2.18592,3.72853,2.58378,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
5,1088.74,1.84607,3.96543,2.15903,0.53812,0.12446,0.03489,0.01265,2.02331,3.58363,2.39341,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
6,1281.14,1.77191,3.89435,2.11218,0.5403,0.03115,0.03626,0.01617,1.8523,3.44999,2.28815,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875
7,1473.25,1.75749,3.83614,2.08046,0.55152,0.10077,0.04295,0.0186,1.90088,3.4882,2.32777,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
8,1665.7,1.68602,3.73434,2.02466,0.56666,0.08783,0.0571,0.02664,1.86262,3.39636,2.22407,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225
9,1858.21,1.68096,3.77079,1.9989,0.69139,0.06655,0.06306,0.02938,1.77987,3.45785,2.19014,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
10,2050.7,1.64004,3.72028,1.98011,0.58712,0.10876,0.07204,0.03416,1.80933,3.29349,2.19126,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
11,2242.92,1.59401,3.52099,1.92895,0.4012,0.15233,0.10409,0.04925,1.80639,3.16762,2.14125,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
12,2435.03,1.57136,3.53486,1.91798,0.51533,0.12743,0.09912,0.04925,1.65267,3.07828,2.03839,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925
13,2628.15,1.55647,3.50402,1.89909,0.39824,0.19536,0.12966,0.06407,1.66786,3.04943,2.0302,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
14,2820.2,1.50728,3.48445,1.83815,0.4811,0.14941,0.06944,0.02936,1.84263,3.74069,2.37808,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275
15,3012.78,1.54105,3.52702,1.88172,0.42797,0.21618,0.15081,0.07565,1.58882,2.95763,1.9847,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
16,3206.16,1.50417,3.44208,1.85526,0.56513,0.20221,0.13917,0.07257,1.55154,2.95869,1.96839,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
17,3398.73,1.50621,3.42807,1.84009,0.39351,0.20018,0.15323,0.0825,1.59389,2.93513,1.96915,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
18,3591.71,1.48835,3.41217,1.83918,0.33544,0.22899,0.17419,0.08472,1.63955,2.816,1.98993,0.0257925,0.0085975,0.0257925,0.0085975,0.0257925,0.0085975,0.0257925,0.0085975
19,3785.22,1.49102,3.34942,1.82797,0.32097,0.21361,0.17085,0.08561,1.64157,2.81234,2.00607,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
20,3978.79,1.46744,3.23437,1.81199,0.33976,0.23858,0.17334,0.09115,1.60677,2.8279,1.97719,0.0252975,0.0084325,0.0252975,0.0084325,0.0252975,0.0084325,0.0252975,0.0084325
21,4172.99,1.46339,3.29398,1.79963,0.47119,0.22691,0.19466,0.09953,1.62957,2.83043,1.9888,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
22,4366.34,1.45542,3.21664,1.78229,0.38903,0.24624,0.2183,0.11595,1.53756,2.6756,1.88718,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
23,4560.07,1.45395,3.14778,1.80736,0.40103,0.27388,0.20693,0.10759,1.56153,2.70461,1.91152,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
24,4754.46,1.4052,3.23928,1.75725,0.39155,0.2407,0.19841,0.10633,1.50053,2.74239,1.876,0.0243075,0.0081025,0.0243075,0.0081025,0.0243075,0.0081025,0.0243075,0.0081025
25,4949.03,1.42049,3.11491,1.76392,0.42535,0.26337,0.2098,0.11375,1.60088,2.77623,1.96309,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
26,5142.61,1.42173,3.1514,1.76247,0.44501,0.3035,0.24015,0.12958,1.51337,2.57304,1.85962,0.0238125,0.0079375,0.0238125,0.0079375,0.0238125,0.0079375,0.0238125,0.0079375
27,5336.42,1.40607,3.09389,1.7564,0.28221,0.28355,0.22274,0.12396,1.4683,2.64212,1.84474,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
28,5529.99,1.37698,3.13645,1.73079,0.39557,0.29323,0.26519,0.15074,1.45802,2.54063,1.83136,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
29,5724.47,1.38516,3.09854,1.72016,0.44453,0.28419,0.24975,0.1373,1.47588,2.51445,1.83194,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
30,5919.55,1.3587,3.01265,1.73595,0.38965,0.28845,0.25081,0.14436,1.36465,2.5475,1.76895,0.0228225,0.0076075,0.0228225,0.0076075,0.0228225,0.0076075,0.0228225,0.0076075
31,6114.36,1.33779,3.01883,1.69968,0.34427,0.31887,0.26909,0.15758,1.37694,2.43528,1.78324,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
32,6309.21,1.38165,2.95417,1.72633,0.33732,0.32771,0.27578,0.15847,1.32291,2.43743,1.72596,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425
33,6503.21,1.34646,2.97959,1.71617,0.46666,0.3143,0.26205,0.15756,1.32137,2.437,1.73815,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
34,6697.27,1.32109,2.93382,1.68784,0.37525,0.34046,0.2873,0.17349,1.28946,2.39233,1.70333,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
35,6892.4,1.33376,2.85848,1.6999,0.45898,0.3336,0.28507,0.17191,1.2846,2.37113,1.69887,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
36,7087.9,1.32073,2.824,1.67313,0.38007,0.34728,0.30582,0.1869,1.27469,2.3997,1.68955,0.0213375,0.0071125,0.0213375,0.0071125,0.0213375,0.0071125,0.0213375,0.0071125
37,7283.16,1.293,2.82338,1.66535,0.43025,0.32718,0.2943,0.18137,1.26709,2.33198,1.69493,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
38,7477.05,1.29155,2.88615,1.65676,0.40716,0.37017,0.31025,0.18943,1.27695,2.29305,1.70317,0.0208425,0.0069475,0.0208425,0.0069475,0.0208425,0.0069475,0.0208425,0.0069475
39,7671.63,1.28338,2.79134,1.64652,0.40833,0.36278,0.31619,0.19698,1.25644,2.3075,1.68262,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
40,7865.34,1.28482,2.80772,1.64818,0.39269,0.35209,0.30684,0.195,1.25288,2.30022,1.68773,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
41,8058.83,1.31222,2.82304,1.66374,0.35743,0.36379,0.30213,0.18823,1.28738,2.32924,1.69768,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
42,8251.88,1.29161,2.76422,1.65708,0.37462,0.35938,0.31532,0.19697,1.22073,2.26158,1.65987,0.0198525,0.0066175,0.0198525,0.0066175,0.0198525,0.0066175,0.0198525,0.0066175
43,8445.49,1.26988,2.73213,1.62543,0.3769,0.36094,0.32592,0.20554,1.21302,2.23459,1.65128,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
44,8638.54,1.27378,2.81322,1.62916,0.3873,0.3715,0.31447,0.20319,1.19803,2.32364,1.62345,0.0193575,0.0064525,0.0193575,0.0064525,0.0193575,0.0064525,0.0193575,0.0064525
45,8832.45,1.26936,2.72171,1.63171,0.4243,0.38504,0.33429,0.2113,1.23345,2.22274,1.64702,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
