epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.867,1.542,2.53773,1.64764,0.35626,0.33116,0.27366,0.14584,1.62477,2.66734,1.84216,0.000236734,0.000236734,0.000236734
2,278.329,1.61328,2.18733,1.67084,0.36662,0.36741,0.31013,0.15363,1.77179,2.35044,1.9393,0.000470817,0.000470817,0.000470817
3,404.452,1.63118,2.28522,1.70919,0.4229,0.28842,0.26631,0.13227,1.79333,3.02931,1.95987,0.000700974,0.000700974,0.000700974
4,532.556,1.61779,2.17941,1.67206,0.54797,0.34736,0.38786,0.19815,1.71857,2.24866,1.90637,0.000696328,0.000696328,0.000696328
5,661.201,1.56754,2.05069,1.65169,0.50983,0.45559,0.46084,0.23423,1.69808,1.97201,1.83926,0.000690438,0.000690438,0.000690438
6,790.255,1.52751,2.00728,1.61496,0.63341,0.4789,0.51515,0.27634,1.62817,1.84246,1.77465,0.000684548,0.000684548,0.000684548
7,919.691,1.50517,1.89545,1.59704,0.60713,0.4754,0.52173,0.30524,1.43494,1.72287,1.60812,0.000678657,0.000678657,0.000678657
8,1050.77,1.46567,1.81551,1.57374,0.67373,0.53817,0.58631,0.34296,1.47772,1.65384,1.65114,0.000672767,0.000672767,0.000672767
9,1180.75,1.45478,1.7452,1.55401,0.69109,0.55408,0.61836,0.35617,1.48034,1.55595,1.64526,0.000666876,0.000666876,0.000666876
10,1310,1.42828,1.69048,1.54803,0.64933,0.52598,0.59823,0.33707,1.483,1.54912,1.6405,0.000660986,0.000660986,0.000660986
11,1439.02,1.39529,1.63837,1.5121,0.68875,0.59129,0.64491,0.3815,1.43235,1.4376,1.60832,0.000655095,0.000655095,0.000655095
12,1567.8,1.38851,1.64516,1.52387,0.72932,0.55254,0.63626,0.37508,1.42277,1.52391,1.60823,0.000649204,0.000649204,0.000649204
13,1696.87,1.35352,1.5632,1.4858,0.70019,0.58084,0.64857,0.36007,1.5091,1.47791,1.66379,0.000643314,0.000643314,0.000643314
14,1825.84,1.36883,1.54967,1.49791,0.73802,0.58174,0.65872,0.37542,1.50489,1.43906,1.63351,0.000637423,0.000637423,0.000637423
15,1954.43,1.33543,1.52313,1.49629,0.8131,0.60731,0.6982,0.4191,1.37901,1.32829,1.56156,0.000631533,0.000631533,0.000631533
16,2085.22,1.32673,1.46172,1.47715,0.76996,0.56712,0.66971,0.41473,1.35477,1.33544,1.53375,0.000625642,0.000625642,0.000625642
17,2215.81,1.31174,1.43062,1.46579,0.70319,0.59556,0.66764,0.40954,1.37803,1.32973,1.55944,0.000619752,0.000619752,0.000619752
18,2346.08,1.3048,1.41219,1.46194,0.7562,0.60867,0.6874,0.41854,1.34683,1.30037,1.53497,0.000613862,0.000613862,0.000613862
19,2475.1,1.30133,1.42242,1.46701,0.75858,0.6277,0.70766,0.41502,1.4222,1.26193,1.567,0.000607971,0.000607971,0.000607971
20,2604.18,1.29475,1.38334,1.45862,0.78884,0.62564,0.70237,0.43252,1.37354,1.20939,1.54855,0.000602081,0.000602081,0.000602081
21,2733.54,1.28599,1.3546,1.45323,0.79405,0.61215,0.69817,0.40083,1.46956,1.31841,1.62421,0.00059619,0.00059619,0.00059619
22,2862.4,1.28928,1.34217,1.44745,0.79361,0.59717,0.68356,0.43636,1.31976,1.28041,1.52563,0.0005903,0.0005903,0.0005903
